No,Code,Herbarium_number,Collector_number,Name,Corrected_name,fullCountry,Province,National_Park_or_Wildlife_Sanctuary,Location,Date,Alt,lat,lon,Note
1,BCU,B000574,P. Sukkharak & T. Seelanan 154,Leucobryum aduncum var. aduncum,Leucobryum scalare,Thailand,Nakhon Si Thammarat,Khao Nan National Park,San Yen Expedition,22-Apr-07,1237 m,8.75437165,99.53000288,on breanch
2,BCU,B000575,P. Sukkharak & T. Seelanan 17,Leucobryum bowringii,Leucobryum bowringii,Thailand,Nakhon Si Thammarat,Khao Nan National Park,San Yen Expedition,18-Apr-07,,,,on rocks
3,BCU,B000576,P. Sukkharak & T. Seelanan 18,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Nakhon Si Thammarat,Khao Nan National Park,San Yen Expedition,18-Apr-07,,,,on rocks
4,BCU,B000577,P. Sukkharak & T. Seelanan 111,Leucobryum javense var. ?,Leucobryum juniperoideum,Thailand,Nakhon Si Thammarat,Khao Nan National Park,San Yen Expedition,20-Apr-07,1301 m,8.74897563,99.5341194,on brach
5,BCU,B000900,Y. Nathi 462,Leucobryum juniperoideum,Leucobryum javense var. javense,Thailand,Chiang Mai,Doi Inthanon National Park,,08-Oct-07,2189 m,18.33593,98.28548,"short turf, on soil in moist and shady area"
6,BCU,B000901,Y. Nathi 542,Leucobryum juniperoideum,Leucobryum chlorophyllosum,Thailand,Chiang Mai,Doi Inthanon National Park,,03-Dec-07,2212 m,18.3336,98.2869,"short turf, on tree trunk open area, with strong light"
7,BCU,B000902,Y. Nathi 841,Leucobryum juniperoideum,Leucobryum sanctum,Thailand,Chiang Mai,Doi Inthanon National Park,,03-Dec-07,2203 m,18.3338,98.28877,"short turf, on branch inmoist area, with intermittent light"
8,BCU,B000903,Y. Nathi 857,Leucobryum juniperoideum,Leucobryum javense var. javense,Thailand,Chiang Mai,Doi Inthanon National Park,,03-Dec-07,2195 m,18.33364,98.28803,"short turf, on tree trunk in moist and shadey are"
9,BCU,B000904,Y. Nathi 1027,Leucobryum juniperoideum,Leucobryum javense var. javense,Thailand,Chiang Mai,Doi Inthanon National Park,,13-Apr-08,2119 m,18.33359,98.28933,"short turf, on rock in moist and shady area, near by stream"
10,BCU,B001168,"P. Sukkharak & T. Seelanan 198, 199",Leucobryum juniperoideum,,Thailand,Nakhon Si Thammarat,Khao Nan National Park,,,,,,
11,BCU,B001400,P. Ajintaiyasil 028,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,15-Dec-14,1223 m,,,"on bark under shade of tree, near waterfall"
12,BCU,B001401,P. Ajintaiyasil 064,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,22-Jan-15,1239 m,,,"on bark under shade of tree, near waterfall"
13,BCU,B001402,P. Ajintaiyasil 071,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,23-Jan-15,1227 m,,,"on log under shade of tree, near waterfall"
14,BCU,B001403,P. Ajintaiyasil 073,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,23-Jan-15,1223 m,,,"on soils under shade of tree, near waterfall"
15,BCU,B001404,P. Ajintaiyasil 108,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,05-Apr-15,1229 m,,,"on bark under shade of tree, near waterfall"
16,BCU,B001405,P. Ajintaiyasil 121,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,05-Apr-15,1304 m,,,on bark in sunlight
17,BCU,B001406,P. Ajintaiyasil 132B,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,20-May-15,1257 m,,,on bark under shade with Octoblepharum albidum
18,BCU,B001407,P. Ajintaiyasil 150,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,21-May-15,1303 m,,,on bark in sunlight
19,BCU,B001408,P. Ajintaiyasil 169,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,30-Jun-15,1302 m,,,on bark in sunlight
20,BCU,B001409,P. Ajintaiyasil 171,Leucobryum aduncum var. scalare,Leucobryum aduncum,Thailand,Loei,Phu Kradueng National Park,,01-Jul-15,1257 m,,,on bark in sunlight
21,BCU,B001410,P. Ajintaiyasil 185,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,08-Aug-15,1241 m,,,"on bark under shade of tree, near waterfall"
22,BCU,B001411,P. Ajintaiyasil 429,Leucobryum aduncum var. scalare,Leucobryum scalare,Thailand,Loei,Phu Kradueng National Park,,13-Feb-15,1064 m,,,on log in sunlight
23,BCU,B001412,P. Ajintaiyasil 493,Leucobryum aduncum var. scalare,Leucobryum aduncum,Thailand,Loei,Phu Kradueng National Park,,22-Dec-16,1256 m,,,"on bark and soils under shade of tree, near waterfall"
24,BCU,B001413,P. Ajintaiyasil 031,Leucobryum bowringii,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,15-Dec-14,1232 m,,,"on soils under shade of tree, near waterfall"
25,BCU,B001414,P. Ajintaiyasil 052,Leucobryum bowringii,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,17-Dec-14,1243 m,,,"on soils under shade of tree, near waterfall"
26,BCU,B001415,P. Ajintaiyasil 472,Leucobryum bowringii,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,21-Dec-16,1222 m,,,"on soils under shade of tree, near waterfall"
27,BCU,B001416,P. Ajintaiyasil 476,Leucobryum bowringii,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,21-Dec-16,1256 m,,,"on soils under shade of tree, near waterfall"
28,BCU,B001417,P. Ajintaiyasil 488,Leucobryum bowringii,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,22-Dec-15,1256 m,,,"on rocks under shade of tree, near waterfall"
29,BCU,B001418,P. Ajintaiyasil 015,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Loei,Phu Kradueng National Park,,15-Dec-14,1225 m,,,"on soils under shade of tree, near waterfall"
30,BCU,B001419,P. Ajintaiyasil 046,Leucobryum javense var. ?,Leucobryum scabrum,Thailand,Loei,Phu Kradueng National Park,,16-Dec-14,1251 m,,,"on bark under shade of tree, near waterfall"
31,BCU,B001420,P. Ajintaiyasil 100,Leucobryum javense var. ?,Leucobryum javense var. javense,Thailand,Loei,Phu Kradueng National Park,,19-Dec-15,1114 m,,,"on log under shade of tree, near waterfall"
32,BCU,B001421,P. Ajintaiyasil 232B,Leucobryum javense var. ?,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,10-Aug-15,1113 m,,,"on log under shade of tree, near waterfall"
33,BCU,B001422,P. Ajintaiyasil 233,Leucobryum javense var. ?,Leucobryum javense var. novae-guineae,Thailand,Loei,Phu Kradueng National Park,,10-Aug-15,1113 m,,,"on log under shade of tree, near waterfall"
34,BCU,B001423,P. Ajintaiyasil 347,Leucobryum javense var. ?,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,16-Nov-15,1224 m,,,"on rocks under shade of tree, near waterfall"
35,BCU,B001424,P. Ajintaiyasil 018,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,15-Dec-14,1186 m,,,"on soils under shade of tree, near waterfall"
36,BCU,B001425,P. Ajintaiyasil 027,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,15-Dec-14,1195 m,,,"on rocks under shade of tree, near waterfall"
37,BCU,B001426,P. Ajintaiyasil 034,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,15-Dec-14,1211 m,,,"on bark under shade of tree, near waterfall"
38,BCU,B001427,P. Ajintaiyasil 061,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,22-Jan-15,1249 m,,,"on soils under shade of tree, near waterfall"
39,BCU,B001428,P. Ajintaiyasil 194,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,08-Aug-15,1240 m,,,"on bark under shade of tree, near waterfall"
40,BCU,B001429,P. Ajintaiyasil 353,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,16-Nov-15,1194 m,,,"on rocks under shade of tree, near waterfall"
41,BCU,B001430,P. Ajintaiyasil 357,Leucobryum juniperoideum,Leucobryum bowringii,Thailand,Loei,Phu Kradueng National Park,,16-Nov-15,1184 m,,,"on soils under shade of tree, near waterfall"
42,BCU,B001431,P. Ajintaiyasil 362,Leucobryum juniperoideum,Leucobryum juniperoideum,Thailand,Loei,Phu Kradueng National Park,,16-Nov-15,1184 m,,,"on bark under shade of tree, near waterfall"
43,BCU,B002598,Y. Nathi 381,Leucobryum juniperoideum,Leucobryum juniperoideum,Thailand,Chiang Mai,Doi Inthanon National Park,,30-Nov-07,,,,"turf, on rotten log open area, with strong light"
44,BCU,B002599,Y. Nathi 1160,Leucobryum juniperoideum,Leucobryum juniperoideum,Thailand,Chiang Mai,Doi Inthanon National Park,,12-May-08,,,,"short turf, on tree trunk in moist area, with intermittent light"
45,BCU,B002600,n.s.,Leucobryum sanctum,Leucobryum sanctum,Thailand,Chon Buri,Khao Khiao Wildlife Sanctuary,Khao Kheaw,01-Nov-94,ca. 1000 m,,,
46,BCU,B002601,n.s.,Leucobryum chlorophyllosum,Leucobryum aduncum,Thailand,Chon Buri,Khao Khiao Wildlife Sanctuary,Khao Kheaw,sn-Nov-1994,ca. 1000 m,,,
