no,refer,ID,references,country,latitude,longitude,family,genus,specificEpithet
1,gbif,92612841,,Philippines,,,Leucobryaceae,Leucobryum,javense
2,gbif,92612714,,Philippines,,,Leucobryaceae,Leucobryum,bowringii
3,gbif,92612706,,Philippines,,,Leucobryaceae,Leucobryum,javense
4,gbif,92612703,,Philippines,,,Leucobryaceae,Leucobryum,aduncum
5,gbif,92612701,,Philippines,,,Leucobryaceae,Leucobryum,arfakianum
6,gbif,92612700,,Philippines,,,Leucobryaceae,Leucobryum,arfakianum
7,gbif,92612699,,Philippines,,,Leucobryaceae,Leucobryum,arfakianum
8,gbif,92612697,,Philippines,,,Leucobryaceae,Leucobryum,sanctum
9,gbif,92612696,,Philippines,,,Leucobryaceae,Leucobryum,sanctum
10,gbif,92612694,,Philippines,,,Leucobryaceae,Leucobryum,arfakianum
11,gbif,92612690,,Philippines,,,Leucobryaceae,Leucobryum,aduncum
12,gbif,92612677,,Philippines,,,Leucobryaceae,Leucobryum,scalare
13,gbif,92612676,,Philippines,,,Leucobryaceae,Leucobryum,scalare
14,gbif,910356749,,China,25.777222,98.708333,Leucobryaceae,Leucobryum,juniperoideum
15,gbif,910355512,,China,25.357778,98.227222,Leucobryaceae,Leucobryum,glaucum
16,gbif,910353819,,China,25.740556,98.695,Leucobryaceae,Leucobryum,juniperoideum
17,gbif,910350749,,China,25.053056,98.463056,Leucobryaceae,Leucobryum,scabrum
18,gbif,910347944,,China,25.053056,98.463056,Leucobryaceae,Leucobryum,bowringii
19,gbif,890177876,,China,25.7475,98.695833,Leucobryaceae,Leucobryum,bowringii
20,gbif,890177631,,China,25.770556,98.618333,Leucobryaceae,Leucobryum,bowringii
21,gbif,890162710,,China,25.744167,98.7,Leucobryaceae,Leucobryum,javense
22,gbif,864901200,https://herbarium.bgbm.org/object/B300047824,China,,,Leucobryaceae,Leucobryum,
23,gbif,864901123,https://herbarium.bgbm.org/object/B300047834,China,,,Leucobryaceae,Leucobryum,scaberulum
24,gbif,864901119,https://herbarium.bgbm.org/object/B300047823,China,,,Leucobryaceae,Leucobryum,
25,gbif,774636702,,Vietnam,,,Leucobryaceae,Leucobryum,
26,gbif,736174623,,Malaysia,,,Leucobryaceae,Leucobryum,
27,gbif,736174618,,Philippines,,,Leucobryaceae,Leucobryum,
28,gbif,736174617,,Philippines,,,Leucobryaceae,Leucobryum,
29,gbif,736174615,,India,,,Leucobryaceae,Leucobryum,
30,gbif,736174605,,Philippines,,,Leucobryaceae,Leucobryum,
31,gbif,736174604,,Philippines,,,Leucobryaceae,Leucobryum,
32,gbif,736174600,,Thailand,,,Leucobryaceae,Leucobryum,
33,gbif,736174599,,Thailand,,,Leucobryaceae,Leucobryum,
34,gbif,736174598,,Thailand,,,Leucobryaceae,Leucobryum,
35,gbif,736174590,,Singapore,,,Leucobryaceae,Leucobryum,
36,gbif,736174549,,Malaysia,,,Leucobryaceae,Leucobryum,
37,gbif,736174540,,India,,,Leucobryaceae,Leucobryum,
38,gbif,736174537,,India,,,Leucobryaceae,Leucobryum,
39,gbif,736174534,,Taiwan,,,Leucobryaceae,Leucobryum,
40,gbif,736174533,,Taiwan,,,Leucobryaceae,Leucobryum,
41,gbif,736174532,,Taiwan,,,Leucobryaceae,Leucobryum,
42,gbif,736174530,,China,,,Leucobryaceae,Leucobryum,
43,gbif,736174473,,Philippines,,,Leucobryaceae,Leucobryum,
44,gbif,736174472,,Philippines,,,Leucobryaceae,Leucobryum,
45,gbif,736174465,,Vietnam,,,Leucobryaceae,Leucobryum,
46,gbif,736174456,,Malaysia,,,Leucobryaceae,Leucobryum,
47,gbif,736174455,,Thailand,,,Leucobryaceae,Leucobryum,
48,gbif,736174393,,China,,,Leucobryaceae,Leucobryum,
